ERROR - 2024-12-17 10:06:19 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000081, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:06:43 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000081, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:07:09 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000081, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:07:23 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000081, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:07:32 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000081, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:08:03 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000081, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:44:04 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000118, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:44:25 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000118, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:44:54 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000120, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:48:12 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000124, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
ERROR - 2024-12-17 10:53:47 --> Query error: Duplicate entry '2024-1-104-2024100000000000004-5-1' for key 'tahunajaran_id' - Invalid query: INSERT INTO `e_komponennilai` (`komponennilai_id`, `jenisnilai_id`, `mapel_id`, `kelas_id`, `tahunajaran_id`, `semester_id`, `guru_id`, `komponennilai_nama`, `komponennilai_materi`, `komponennilai_kktp`) VALUES (2024100000000000131, '5', '104', '2024100000000000004', '2024', '1', '2025388000020', '1', 'Hadist tentang kebersihan', '70')
